Transaction Collection Report

 Trans ID     Job#  Empl ID  OpersID   Start Date/Time    Stop Date/Time  Result
  125620      1860      289    20161  01/25/2010 11:34  01/25/2010 12:15  129025                 
  125719      1860      289    20161  01/25/2010 14:52  01/25/2010 15:13  129026                 
  125696      1875      105     5706  01/25/2010 13:42  01/25/2010 16:07  129027                 
  125605      1876      105     5708  01/25/2010 11:04  01/25/2010 13:00  129028                 
  125626      1876      111     4281  01/25/2010 11:41  01/25/2010 12:25  129029                 
  125560      1877      105     5710  01/25/2010 09:45  01/25/2010 11:04  129030                 
  125655      1877      111     4311  01/25/2010 12:25  01/25/2010 12:39  129031                 
  125556      1910      561     3092  01/25/2010 09:43  01/25/2010 13:16  129032                 
  125602      1910      289     5704  01/25/2010 10:59  01/25/2010 11:34  129033                 
  125708      1910      289     5704  01/25/2010 14:28  01/25/2010 14:52  129034                 
  125646      1922      289    23634  01/25/2010 12:15  01/25/2010 12:47  129035                 
  125679      1949      289     5897  01/25/2010 13:09  01/25/2010 14:08  129036                 
  125682      1949      110     5870  01/25/2010 13:14  01/25/2010 13:29  129037                 
  125731      1949      289     5897  01/25/2010 15:13  01/25/2010 16:00  129038                 
  125574      1950      289     5865  01/25/2010 10:10  01/25/2010 10:59  129039                 
  125670      1950      289     5865  01/25/2010 12:47  01/25/2010 13:09  129040                 
  125702      1954      289    24452  01/25/2010 14:08  01/25/2010 14:28  129041                 
  125688      1966      233    23722  01/25/2010 13:28  01/25/2010 14:02  129042                 
  125568      1967      233    23914  01/25/2010 10:00  01/25/2010 10:48  129043                 
  125594      1968      233    23866  01/25/2010 10:48  01/25/2010 13:05  129044                 
  125677      1970      233    11748  01/25/2010 13:05  01/25/2010 13:28  129045                 
  125711      1970      233    11748  01/25/2010 14:36  01/25/2010 15:05  129046                 
  125752      2008      561    24865  01/25/2010 16:09  01/25/2010 16:09  129047                 
  125675      2060      105    33574  01/25/2010 13:00  01/25/2010 13:42  129048                 
  125558      1866      119     9043  01/25/2010 09:44  01/25/2010 11:13  129049                 
  125686      1866      126     9032  01/25/2010 13:25  01/25/2010 13:33  129050                 
  125561      1867      526     9078  01/25/2010 09:45  01/25/2010 11:08  129051                 
  125586      1879      305     5608  01/25/2010 10:37  01/25/2010 12:27  129052                 
  125635      1879      305     4216  01/25/2010 11:50  01/25/2010 11:50  129053                 
