"ViewName","Application","Full","Modify","ReadOnly","ChangedFlag","Sequence"
"oSelectCallCenterNotes","Tempus Field","40,50,55,60,70,80,90","","","1","7.00"
"oSelectEmployers","Tempus Field","40,50,55,60,70,80,90","","","1","5.00"
"oSelectJobServiceStatus","Tempus Field","40,50,55,60,70,80,90","","","1","6.00"
"oSelectMyTransactions","Tempus Field","20,21,22,23,28,29,30,40,50,55,60,70,80,90","","","1","3.00"
"oSelectOpenTransactions","Tempus Field","40,50,55,60,70,80,90","","","1","4.00"
"oSelectReportLabor","Tempus Field","20,21,22,23,28,29,30,40,50,55,60,70,80,90","","","1","1.00"
"oSelectReportMaterial","Tempus Field","20,21,22,23,28,29,30,40,50,55,60,70,80,90","","","1","2.00"
"oSelectSnowbooks","Tempus Field","20,21,22,23,28,29,30,40,50,55,60,70,80,90","","","1","6.10"
"oZoomCallCenterNotes","Tempus Field","40,50,55,60,70,80,90","","","1","7.10"
"oZoomCreateEmployee","Tempus Field","40,50,55,60,70,80,90","","","1","5.30"
"oZoomEmployee","Tempus Field","40,50,55,60,70,80,90","","","1","5.20"
"oZoomEmployers","Tempus Field","40,50,55,60,70,80,90","","","1","5.10"
"oZoomOpenTransactions","Tempus Field","40,50,55,60,70,80,90","","","1","4.10"
"oZoomSnowbooksLocation","Tempus Field","20,21,22,23,28,29,30,40,50,55,60,70,80,90","","","1","6.20"
