Recnum,SalesTaxIdno,Name,Rate,QBItemSalesTaxListID
,,Albert Lea,7.375,a
,,Austin,7.375,a
,,Baxter,7.375,a
,,Beltrami County,7.375,a
,,Bemidiji,7.875,a
,,Brainerd,7.375,a
,,Clearwater,7.375,a
,,Cloquet,7.375,a
,,Cook County,7.875,a
,,Duluth,7.875,a
,,Fergus Falls,7.375,a
,,Hennepin County,7.275,a
,,Hermantown,7.875,a
,,Hutchinson,7.375,a
,,Lanesboro,7.375,a
,,Mankato,7.375,a
,,Marshall,7.375,a
,,Medford,7.375,a
,,Minneapolis,7.775,a
,,MN Sales Tax,6.875,a
,,New Ulm,7.375,a
,,North Mankato,7.375,a
,,Olmstead County,7.125,a
,,Proctor,7.375,a
,,Rice County,7.375,a
,,Rochester,7.625,a
,,St. Cloud,7.375,a
,,St. Paul,7.625,a
,,Tax Exempt,0,a
,,Transit  Area,7.125,a
,,Two Harbors,7.375,a
,,Wadena County,7.375,a
,,Worthington,7.375,a
